dysfunction,Maturity,Solutions,Impacts
L'équipe ne s'approprie pas assez le sens métier,Niveau 0,Global,Impact global attendu : Votre équipe aura une meilleure compréhension fonctionnelle des besoins utilisateurs et ils auront un retour régulier de ces derniers.
L'équipe ne s'approprie pas assez le sens métier,Niveau 1,Review,Prise en compte des retours utilisateurs afin de comprendre le sens de leur besoin
L'équipe ne s'approprie pas assez le sens métier,Niveau 2,Persona,Obtenir une représentation des utilisateurs afin de mieux comprendre leurs besoins
L'équipe ne s'approprie pas assez le sens métier,Niveau 3,User Journey,Obtenir un parcours de l'interaction de l'utilisateur sur votre produit et/ou service afin de mieux le connaitre.
L'équipe ne s'approprie pas assez le sens métier,Nextoo,,
L'équipe n'a pas d'objectifs priorisés,Niveau 0,Global,"Impact global attendu : Permettre une meilleure clarté et compréhension des objectifs, un meilleur alignement entre les équipes, une amélioration de la mesure de la performance"
L'équipe n'a pas d'objectifs priorisés,Niveau 1,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
L'équipe n'a pas d'objectifs priorisés,Niveau 2,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise
L'équipe n'a pas d'objectifs priorisés,Nextoo,,
Une personne impose régulièrement des décisions,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
Une personne impose régulièrement des décisions,Nextoo,,
Les membres d'une équipe ne communiquent pas suffisamment,Niveau 0,Global,Impact global attendu : Permettre une meilleure communication au sein de l'équipe grâce à une meilleure transparence et une amélioration continue du travail en équipe
Les membres d'une équipe ne communiquent pas suffisamment,Niveau 1,Daily Meeting,"Permettant une meilleure coordination, une plus grande transparence et une meilleure collaboration au sein de l'équipe"
Les membres d'une équipe ne communiquent pas suffisamment,Niveau 2,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
Les membres d'une équipe ne communiquent pas suffisamment,Niveau 3,Team Building,Renforcer la cohésion et la collaboration au sein d'une équipe
Les membres d'une équipe ne communiquent pas suffisamment,Nextoo,,
L'équipe ne recherche pas le feedback,Niveau 0,Global,Impact global attendu : Permettre à l'équipe d'avoir des retours sur son fonctionnement et la valeur qu'elle délivre
L'équipe ne recherche pas le feedback,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'équipe ne recherche pas le feedback,Niveau 2,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
L'équipe ne recherche pas le feedback,Nextoo,,
"En l'absence d'un membre, l'équipe est fortement ralentie",Niveau 1,Trou dans la Raquette by Argios,Connaitre les faiblesses dans la mise en place d'un processus de production et l'objectif est de les combler par un binôme ou une montée en compétences individuelles.
"En l'absence d'un membre, l'équipe est fortement ralentie",Nextoo,KiKaVuKoi (par Nextoo),KiKaVuKoi est un micro atelier / Icebreaker permettant de parler perspective et point de vue avec les équipes.
"En l'absence d'un membre, l'équipe est fortement ralentie",Nextoo 2,Free Your Skills,"Un serious game pour discuter gestion et transfert des compétences, en équipe, dans l'organisation. Quel impact sur la production? Quelle efficacité?"
"En l'absence d'un membre, l'équipe est fortement ralentie",Nextoo 3,Broken squares,Peut-on collaborer sans communiquer? Comment faire en sorte d'atteindre un objectif commun dans un environnement à forte contrainte?
Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,Niveau 1,Trou dans la Raquette by Argios,Connaitre les faiblesses dans la mise en place d'un processus de production et l'objectif est de les combler par un binôme ou une montée en compétences individuelles.
Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,Nextoo 1,KiKaVuKoi (par Nextoo),KiKaVuKoi est un micro atelier / Icebreaker permettant de parler perspective et point de vue avec les équipes.
Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,Nextoo 2,Free Your Skills (par Nextoo),"Un serious game pour discuter gestion et transfert des compétences, en équipe, dans l'organisation. Quel impact sur la production? Quelle efficacité?"
Problème d'objectif commun,Niveau 0,Global,Impact global attendu : Permettre une vision global du produit et du service en apportant un ou des objectifs communs à l'équipe et aux parties prenantes
Problème d'objectif commun,Niveau 1,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Problème d'objectif commun,Niveau 2,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
Problème d'objectif commun,Niveau 3,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise
Problème d'objectif commun,Nextoo,,
L'ambiance n'est pas au beau fixe,Niveau 0,Global,Impact global attendu : Permettre de retourner à une ambiance saine pour l'équipe en favorisant la collaboration et l'alignement de l'équipe
L'ambiance n'est pas au beau fixe,Niveau 1,Team Building,Renforcer la cohésion et la collaboration au sein d'une équipe
L'ambiance n'est pas au beau fixe,Niveau 2,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
L'ambiance n'est pas au beau fixe,Niveau 3,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'ambiance n'est pas au beau fixe,Nextoo,,
L'équipe se remet rarement en cause,Niveau 0,Global,Impact global attendu : Permettre à l'équipe de se remettre en cause sur son fonctionnement et la valeur qu'elle délivre
