,dysfunction,impact
0,La vision n'est pas mise à jour,100.0
1,Mauvais focus du problème,100.0
2,La vision est imposée,100.0
3,Perte de raison d'être du produit,100.0
4,Le problème n'est qu'une perception,100.0
5,La fonctionnalité ou le service ne correspond pas à la raison d'être du produit,100.0
6,Les fonctionnalités et services sont des projets,100.0
7,La raison d'être du produit n'a pas de sens car une solution existe déjà,100.0
8,Les utilisateurs choisis ne sont pas un échantillon représentatif,80.0
9,Le produit génère des problèmes,80.0
10,Le produit n'a pas d'évolutivité,80.0
11,La vision ne change pas,80.0
12,La vision n'est pas communiquée,80.0
13,Le processus n'est pas écrit en collaboration avec les utilisateurs,60.0
14,Organisation non verticale,60.0
15,La raison d'être du produit est connue d'une seule personne,60.0
16,La construction du produit est imposée,40.0
17,Absence de notion de valeur,40.0
18,La vision n'est pas claire,40.0
19,Objectif non SMART,40.0
20,Le produit est imposée par une personne,40.0
21,Non communication sur le produit,40.0
22,Le problème identifié n'est pas le réel problème,40.0
23,L'équipe a besoin d'être davantage guidée,20.0
24,Équipe sceptique,20.0
25,Absence d'objectif,20.0
26,Pas de confiance aux utilisateurs,20.0
27,Trop de temps passé sur la 1ere version,20.0
28,L'utilisateur n'a pas de moyen de remonter ses problèmes,20.0
29,Imposer un processus,20.0
30,Manque de collaboration,20.0
31,Il y a un manque de collaboration,0.0
32,Pas d'enquête au préalable auprès de l'utilisateur,0.0
33,Le climat social n'est pas adapté pour remonter le problème,0.0
34,L'utilisateur n'a pas moyen de remonter ses problèmes,0.0
