,dysfunction,impact
0,La vision n'est pas mise à jour,95.0
1,La raison d'être du produit n'a pas de sens car une solution existe déjà,90.0
2,Perte de raison d'être du produit,90.0
3,La vision est imposée,90.0
4,La vision ne change pas,75.0
5,La fonctionnalité ou le service ne correspond pas à la raison d'être du produit,75.0
6,Les fonctionnalités et services sont des projets,70.0
7,Les utilisateurs choisis ne sont pas un échantillon représentatif,70.0
8,Mauvais focus du problème,70.0
9,Le produit génère des problèmes,65.0
10,Le produit n'a pas d'évolutivité,60.0
11,La raison d'être du produit est connue d'une seule personne,60.0
12,La construction du produit est imposée,55.00000000000001
13,Le processus n'est pas écrit en collaboration avec les utilisateurs,50.0
14,Le problème identifié n'est pas le réel problème,45.0
15,Le problème identifié n'est pas le réel problème,45.0
16,Le problème identifié n'est pas le réel problème,45.0
17,Le problème identifié n'est pas le réel problème,45.0
18,Le problème identifié n'est pas le réel problème,45.0
19,Le problème identifié n'est pas le réel problème,45.0
20,Le problème identifié n'est pas le réel problème,45.0
21,Le problème identifié n'est pas le réel problème,45.0
22,Le problème identifié n'est pas le réel problème,45.0
23,Le problème identifié n'est pas le réel problème,45.0
24,Le problème identifié n'est pas le réel problème,45.0
25,Le problème identifié n'est pas le réel problème,45.0
26,Le problème identifié n'est pas le réel problème,45.0
27,Le problème identifié n'est pas le réel problème,45.0
28,Le problème identifié n'est pas le réel problème,45.0
29,Le problème identifié n'est pas le réel problème,45.0
30,Le problème identifié n'est pas le réel problème,45.0
31,Le problème identifié n'est pas le réel problème,45.0
32,Le problème identifié n'est pas le réel problème,45.0
33,Le problème identifié n'est pas le réel problème,45.0
34,Le problème identifié n'est pas le réel problème,45.0
35,Le problème identifié n'est pas le réel problème,45.0
36,Le problème identifié n'est pas le réel problème,45.0
37,Le problème identifié n'est pas le réel problème,45.0
38,Le problème identifié n'est pas le réel problème,45.0
39,Le problème identifié n'est pas le réel problème,45.0
40,Le problème identifié n'est pas le réel problème,45.0
41,Le problème identifié n'est pas le réel problème,45.0
42,Le problème identifié n'est pas le réel problème,45.0
43,Le problème identifié n'est pas le réel problème,45.0
44,Le problème identifié n'est pas le réel problème,45.0
45,Le problème identifié n'est pas le réel problème,45.0
46,Le problème identifié n'est pas le réel problème,45.0
47,Le problème identifié n'est pas le réel problème,45.0
48,Le problème identifié n'est pas le réel problème,45.0
49,Le problème identifié n'est pas le réel problème,45.0
50,Le problème identifié n'est pas le réel problème,45.0
51,Le problème identifié n'est pas le réel problème,45.0
52,Le problème identifié n'est pas le réel problème,45.0
53,Le problème identifié n'est pas le réel problème,45.0
54,Le problème identifié n'est pas le réel problème,45.0
55,Le problème identifié n'est pas le réel problème,45.0
56,Le problème identifié n'est pas le réel problème,45.0
57,Le problème identifié n'est pas le réel problème,45.0
58,Le problème identifié n'est pas le réel problème,45.0
59,Le problème identifié n'est pas le réel problème,45.0
60,Le problème identifié n'est pas le réel problème,45.0
61,Le problème identifié n'est pas le réel problème,45.0
62,Le problème identifié n'est pas le réel problème,45.0
63,Le problème identifié n'est pas le réel problème,45.0
64,Le problème identifié n'est pas le réel problème,45.0
65,Le problème identifié n'est pas le réel problème,45.0
66,Le problème identifié n'est pas le réel problème,45.0
67,Le problème identifié n'est pas le réel problème,45.0
68,Le problème identifié n'est pas le réel problème,45.0
69,Le problème identifié n'est pas le réel problème,45.0
70,Le problème identifié n'est pas le réel problème,45.0
71,Le problème identifié n'est pas le réel problème,45.0
72,Le problème identifié n'est pas le réel problème,45.0
73,Le problème identifié n'est pas le réel problème,45.0
74,Le problème identifié n'est pas le réel problème,45.0
75,Le problème identifié n'est pas le réel problème,45.0
76,Pas d'enquête au préalable auprès de l'utilisateur,45.0
77,Le problème identifié n'est pas le réel problème,45.0
78,Le problème identifié n'est pas le réel problème,45.0
79,Le problème identifié n'est pas le réel problème,40.0
80,Le problème identifié n'est pas le réel problème,40.0
81,Le problème identifié n'est pas le réel problème,40.0
