,dysfunction,impact
0,L'équipe ne recherche pas le feedback,83.33333333333334
1,"En l'absence d'un membre, l'équipe est fortement ralentie",83.33333333333334
2,L'équipe n'anticipe pas suffisamment,83.33333333333334
3,L'équipe est déresponsabilisée,66.66666666666666
4,L'équipe n'a pas de feedback,66.66666666666666
5,Le comportement d'un individu dérange l'équipe,66.66666666666666
6,Vague de nouveaux arrivés,66.66666666666666
7,L'équipe a trop de leaders,50.0
8,Un des membres de l'équipe se met trop en avant sur son domaine de compétences,50.0
9,Les individus sont résignés,50.0
10,L'équipe est bridée par le management,50.0
11,Majorité de membres individualistes,50.0
12,L'équipe ne s'approprie pas assez le sens métier,50.0
13,L'équipe ne se sent pas responsable,50.0
14,L'équipe dit oui à tout,50.0
15,L'équipe n'ose pas,50.0
16,L'équipe prend trop de risques,50.0
17,Des membres de l'équipe font de la rétention d'information,33.33333333333333
18,L'équipe est trop grande,33.33333333333333
19,La valeur du produit / service reste abstraite pour l'équipe,33.33333333333333
20,L'équipe gère trop de produits / services,33.33333333333333
21,L'équipe ne s'adapte pas assez au changement,33.33333333333333
22,Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,33.33333333333333
23,Les membres d'une équipe ne communiquent pas suffisamment,33.33333333333333
24,Une personne impose régulièrement des décisions,33.33333333333333
25,L'équipe n'a pas de leader,16.666666666666664
26,L'équipe est abandonnée,16.666666666666664
27,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulés,16.666666666666664
28,Les membres de l'équipe ont des non-dits,16.666666666666664
29,L'équipe n'a pas d'objectifs priorisés,16.666666666666664
30,L'ambiance n'est pas au beau fixe,16.666666666666664
31,Problème d'objectif commun,16.666666666666664
32,L'équipe se remet rarement en cause,0.0
33,L'équipe dit non à tout,0.0
34,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,0.0
