,dysfunction,impact
0,L'équipe n'anticipe pas suffisamment,6
1,Vague de nouveaux arrivés,5
2,L'équipe a trop de leaders,5
3,"En l'absence d'un membre, l'équipe est fortement ralentie",5
4,Majorité de membres individualistes,4
5,Un des membres de l'équipe se met trop en avant sur son domaine de compétences,4
6,Les individus sont résignés,4
7,L'équipe dit oui à tout,4
8,L'équipe est bridée par le management,4
9,L'équipe est déresponsabilisée,4
10,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulés,3
11,L'équipe n'a pas de leader,3
12,Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,3
13,L'équipe ne s'adapte pas assez au changement,3
14,L'équipe prend trop de risques,2
15,Le comportement d'un individu dérange l'équipe,2
16,L'équipe n'ose pas,2
17,La valeur du produit / service reste abstraite pour l'équipe,2
18,Une personne impose régulièrement des décisions,2
19,L'équipe ne recherche pas le feedback,2
20,L'équipe se remet rarement en cause,2
21,Problème d'objectif commun,2
22,L'équipe n'a pas d'objectifs priorisés,1
23,L'équipe gère trop de produits / services,1
24,Les membres d'une équipe ne communiquent pas suffisamment,1
25,L'équipe ne s'approprie pas assez le sens métier,1
26,L'équipe n'a pas de feedback,1
27,L'équipe ne se sent pas responsable,1
28,Des membres de l'équipe font de la rétention d'information,1
29,Les membres de l'équipe ont des non-dits,0
30,L'équipe est abandonnée,0
31,L'équipe est trop grande,0
32,L'équipe dit non à tout,0
33,L'ambiance n'est pas au beau fixe,0
