,dysfunction,impact
0,L'équipe n'anticipe pas suffisamment,50.0
1,Les individus sont résignés,40.909090909090914
2,L'équipe est trop grande,40.909090909090914
3,L'équipe a trop de leaders,36.36363636363637
4,Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,36.36363636363637
5,Un des membres de l'équipe se met trop en avant sur son domaine de compétences,36.36363636363637
6,Le turnover est important,31.818182
7,"En l'absence d'un membre, l'équipe est fortement ralentie",31.818181818181817
8,L'équipe est déresponsabilisée,31.818181818181817
9,Les membres d'une équipe ne communiquent pas suffisamment,31.818181818181817
10,L'équipe n'ose pas,27.27272727272727
11,Le comportement d'un individu dérange l'équipe,27.27272727272727
12,Majorité de membres individualistes,27.27272727272727
13,La valeur du produit / service reste abstraite pour l'équipe,27.27272727272727
14,Vague de nouveaux arrivés,22.727272727272727
15,L'équipe n'a pas de feedback,22.727272727272727
16,L'équipe gère trop de produits / services,22.727272727272727
17,L'équipe n'a pas de leader,22.727272727272727
18,L'équipe ne s'approprie pas assez le sens métier,18.181818181818183
19,L'équipe ne recherche pas le feedback,18.181818181818183
20,L'équipe ne s'adapte pas assez au changement,18.181818181818183
21,L'équipe dit oui à tout,18.181818181818183
22,Les membres de l'équipe ont des non-dits,13.636363636363637
23,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulés,13.636363636363637
24,L'équipe n'a pas d'objectifs priorisés,13.636363636363637
25,L'équipe ne se sent pas responsable,13.636363636363637
26,L'ambiance n'est pas au beau fixe,13.636363636363637
27,Problème d'objectif commun,13.636363636363637
28,L'équipe prend trop de risques,13.636363636363637
29,L'équipe est bridée par le management,9.090909090909092
30,Des membres de l'équipe font de la rétention d'information,9.090909090909092
31,L'équipe est abandonnée,9.090909090909092
32,L'équipe se remet rarement en cause,9.090909090909092
33,Une personne impose régulièrement des décisions,9.090909090909092
34,L'équipe dit non à tout,0.0
35,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,0.0
