,dysfunction,impact
0,Le comportement d'un individu dérange l'équipe,35.0
1,L'équipe n'a pas de leader,12.0
2,"En l'absence d'un membre, l'équipe est fortement ralentie",47.0
3,L'équipe n'anticipe pas suffisamment,39.0
4,Les individus sont résignés,33.0
5,Un des membres de l'équipe se met trop en avant sur son domaine de compétences,17.333333333333332
6,Vague de nouveaux arrivés,24.0
7,L'équipe est bridée par le management,22.666666666666664
8,La valeur du produit / service reste abstraite pour l'équipe,25.33333333333333
9,L'équipe est trop grande,25.33333333333333
10,L'équipe dit oui à tout,28.0
11,L'équipe ne s'adapte pas assez au changement,23.33333333333333
12,L'équipe a trop de leaders,13.333333333333332
13,Majorité de membres individualistes,11.333333333333332
14,L'équipe gère trop de produits / services,8.666666666666666
15,Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,30.0
16,Les membres d'une équipe ne communiquent pas suffisamment,32.666666666666664
17,Une personne impose régulièrement des décisions,36.66666666666666
18,L'équipe prend trop de risques,7.666666666666666
19,L'équipe ne s'approprie pas assez le sens métier,21.33333333333333
20,L'équipe n'ose pas,0.6666666666666666
21,Des membres de l'équipe font de la rétention d'information,14.0
22,L'équipe ne recherche pas le feedback,16.0
23,L'équipe n'a pas d'objectifs priorisés,0.0
24,L'équipe n'a pas de feedback,0.0
25,L'équipe est déresponsabilisée,0.0
26,Les membres de l'équipe ont des non-dits,0.0
27,L'équipe ne se sent pas responsable,0.0
28,L'équipe se remet rarement en cause,0.0
29,L'équipe est abandonnée,0.0
30,L'ambiance n'est pas au beau fixe,0.0
31,Problème d'objectif commun,0.0
32,Une équipe dit non à tout,0.0
33,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulés,0.0
